Year,Month,"Forecast_Sales_new_Stores "
2016,1,2491319.093207
2016,2,2408384.783604
2016,3,2833157.321387
2016,4,2679433.371626
2016,5,3054885.876482
2016,6,3106151.779247
2016,7,3132699.144598
2016,8,2776154.195458
2016,9,2451565.941438
2016,10,2401771.574835
2016,11,2477301.916348
2016,12,2452170.069396
